Orientation [°],Layer Height [mm],Nozzle Diameter [mm],Print Speed [mm/min],Avg Temperature [°C],Avg Filament Speed [mm/s],Avg Force [g],Modulus [MPa],Tensile Stress at Tensile Strength [MPa],Run,Sample,Notes,Filepath
0,0.1,0.4,1200,232.51,0.34,368.36,2533.15,38.10,1,1,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_1200/1_100_25_01_04_1200_0_S.csv
0,0.1,0.4,1200,232.85,0.34,282.29,2086.68,37.46,1,2,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_1200/1_100_25_01_04_1200_0_S.csv
0,0.1,0.4,1200,233.1,0.34,139.83,2431.08,38.98,1,3,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_1200/1_100_25_01_04_1200_0_S.csv
0,0.1,0.4,1200,232.78,0.34,159.37,2157.10,39.50,1,4,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_1200/1_100_25_01_04_1200_0_S.csv
0,0.1,0.4,1200,232.95,0.34,329.27,2412.68,38.31,2,1,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_1200/2_100_25_01_04_1200_0_S.csv
0,0.1,0.4,1200,233.2,0.34,229.43,2019.98,39.40,2,2,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_1200/2_100_25_01_04_1200_0_S.csv
0,0.1,0.4,1200,233.51,0.34,129.77,2239.28,37.92,2,3,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_1200/2_100_25_01_04_1200_0_S.csv
0,0.1,0.4,1200,233.45,0.34,103.44,2034.29,35.13,2,4,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_1200/2_100_25_01_04_1200_0_S.csv
0,0.1,0.4,2400,232.2,0.66,538.87,1837.82,34.21,1,1,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_2400/1_100_25_01_04_2400_0_S.csv
0,0.1,0.4,2400,233.61,0.66,397.78,2242.75,38.61,1,2,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_2400/1_100_25_01_04_2400_0_S.csv
0,0.1,0.4,2400,233.88,0.66,312.37,2383.45,38.03,1,3,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_2400/1_100_25_01_04_2400_0_S.csv
0,0.1,0.4,2400,233.72,0.66,282.25,2370.99,40.72,1,4,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_2400/1_100_25_01_04_2400_0_S.csv
0,0.1,0.4,2400,233.28,0.66,605.48,1859.54,37.86,2,1,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_2400/2_100_25_01_04_2400_0_S.csv
0,0.1,0.4,2400,233.39,0.66,465.06,2819.15,39.84,2,2,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_2400/2_100_25_01_04_2400_0_S.csv
0,0.1,0.4,2400,233.53,0.66,342.72,2246.57,39.67,2,3,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_2400/2_100_25_01_04_2400_0_S.csv
0,0.1,0.4,2400,233.4,0.66,329.31,2228.01,40.32,2,4,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_2400/2_100_25_01_04_2400_0_S.csv
0,0.1,0.4,3600,232.72,0.97,627.14,2325.58,37.90,1,1,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_3600/1_100_25_01_04_3600_0_S.csv
0,0.1,0.4,3600,233.01,0.97,476.46,2167.99,39.85,1,2,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_3600/1_100_25_01_04_3600_0_S.csv
0,0.1,0.4,3600,233.22,0.98,369.03,2772.76,39.27,1,3,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_3600/1_100_25_01_04_3600_0_S.csv
0,0.1,0.4,3600,233.2,0.97,394.02,2972.97,39.61,1,4,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_3600/1_100_25_01_04_3600_0_S.csv
0,0.1,0.4,3600,233.33,0.96,681.00,2128.91,37.18,2,1,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_3600/2_100_25_01_04_3600_0_S.csv
0,0.1,0.4,3600,233.52,0.97,463.54,2339.89,39.61,2,2,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_3600/2_100_25_01_04_3600_0_S.csv
0,0.1,0.4,3600,233.69,0.97,334.75,2330.17,38.15,2,3,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_3600/2_100_25_01_04_3600_0_S.csv
0,0.1,0.4,3600,233.63,0.97,335.10,2465.14,40.40,2,4,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_04_3600/2_100_25_01_04_3600_0_S.csv
0,0.1,0.8,1200,227.31,0.64,214.56,2340.59,38.99,1,1,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_1200/1_100_25_01_08_1200_0_J.csv
0,0.1,0.8,1200,227.26,0.64,214.70,2147.74,38.57,1,2,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_1200/1_100_25_01_08_1200_0_J.csv
0,0.1,0.8,1200,227.22,0.64,184.10,2302.67,39.19,1,3,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_1200/1_100_25_01_08_1200_0_J.csv
0,0.1,0.8,1200,227.19,0.64,151.79,2214.73,38.63,1,4,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_1200/1_100_25_01_08_1200_0_J.csv
0,0.1,0.8,1200,227.3,0.64,179.41,2367.59,39.00,2,1,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_1200/2_100_25_01_08_1200_0_J.csv
0,0.1,0.8,1200,227.28,0.64,188.70,2230.09,39.06,2,2,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_1200/2_100_25_01_08_1200_0_J.csv
0,0.1,0.8,1200,227.22,0.64,145.43,2204.73,39.09,2,3,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_1200/2_100_25_01_08_1200_0_J.csv
0,0.1,0.8,1200,227.14,0.64,114.66,2130.62,38.28,2,4,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_1200/2_100_25_01_08_1200_0_J.csv
0,0.1,0.8,2400,227.2,1.23,339.12,2396.09,39.66,1,1,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_2400/1_100_25_01_08_2400_0_J.csv
