O,LH,ND,PS,S_r
0,0.2,0.5,2400,0.959226253
0,0.2,0.5,2400,0.961766895
0,0.2,0.5,2400,0.962936327
0,0.2,0.5,2400,0.961054462
0,0.2,0.5,2400,0.967454544
0,0.2,0.5,2400,0.962857835
0,0.2,0.5,2400,0.96548055
0,0.2,0.5,2400,0.963650116
